ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
373647	C	C1d/C42g	None	4	8	C1d/C42g-C42.2-C1-C42a-C1b	106/211-1-2-82-4	0.249[0.116]/0.239[0.186]-0.216[0.045]-0.158[0.023]-0.075[0.041]-0.062[0.029]
373754	C	C15	None	4	18	C15-C15bn-C15dq	517-11253-611	0.930[0.012]-0.036[0.007]-0.034[0.005]
372217	C	C15	None	3	18	C15-C15by-C15ai	517-1574-523	0.961[0.002]-0.020[0.004]-0.019[0.002]
373799	C	C1d	None	2	55	C1d	106	1.000[0.000]
372354	C	C42a	None	1	68	C42.2/C1/C42a/C1j-C1b-C1ci-C1au	82-4-1-2-15-20-95	0.525[nan]-0.166[nan]-0.133[nan]-0.107[nan]-0.050[nan]-0.012[nan]-0.007[nan]
372228	C	C15	None	1	31	C15/C116	517-632	0.664[nan]-0.336[nan]
373657	C	C15	None	1	5	C15-C15kl-C15he	517-14272-714	0.961[nan]-0.020[nan]-0.019[nan]
374685	C	C15	None	1	10	C15/C116-C15h	517-632-1584	0.776[nan]-0.203[nan]-0.020[nan]
372276	C	C15	None	1	11	C15/C116ai-C116aj	517-1593-10391	0.868[nan]-0.088[nan]-0.044[nan]
373813	C	C1l	None	1	2	C1l	5325	1.000[nan]
372284	C	C15	None	1	9	C15-C15he	517-714	0.965[nan]-0.035[nan]
371902	C	C1	None	1	9	C1-C1c-C1b	2-4-308	0.667[nan]-0.198[nan]-0.135[nan]
372290	C	C15	None	1	55	C15-C15bn-C15by	517-611-1574	0.953[nan]-0.026[nan]-0.021[nan]
373573	C	C15	None	1	80	C15/C93a	517-869	0.794[nan]-0.206[nan]
373709	C	C1	None	1	6	C15/C42a/C1-C42b	2-82-83-517	0.750[nan]-0.140[nan]-0.060[nan]-0.050[nan]
371964	C	C15	None	1	4	C15-C15l-C15n	517-518-519	0.951[nan]-0.030[nan]-0.020[nan]
373592	C	C15	None	1	20	C15-C15kl-C15pm	517-5367-14272	0.975[nan]-0.017[nan]-0.008[nan]
373082	C	C3ae	None	1	9	C3ae/C3f-C3bj	26-30-28	0.713[nan]-0.246[nan]-0.041[nan]
372699	C	C116	None	1	18	C116-C116af-C116ag-C116q	632-32963-32961-6114	0.577[nan]-0.216[nan]-0.176[nan]-0.031[nan]
374632	C	C15	None	1	226	C15-C15bn-C15by-C15ai	517-1574-523-611	0.952[nan]-0.019[nan]-0.017[nan]-0.012[nan]
372588	C	C1d	None	1	12	C1d/C42.2	106-1	0.599[nan]-0.401[nan]
373359	C	C15h	None	1	97	C15h/C3	1584-32	0.943[nan]-0.057[nan]
374639	C	C1	None	1	119	C1-C1c-C1am-C1b-C1ao-C1an-C3cm-C42.2	2-4-1103-308-1-1112-1108-1123	0.780[nan]-0.077[nan]-0.052[nan]-0.038[nan]-0.021[nan]-0.017[nan]-0.011[nan]-0.005[nan]
373362	C	C15	None	1	2	C15-C15kl	517-14272	0.814[nan]-0.186[nan]
373886	C	C91	None	1	30	C91	1254	1.000[nan]
374381	D	D1	None	123	123	D1-D1u-D1jb	853-10613-1692	0.734[0.025]-0.219[0.021]-0.047[0.010]
374191	D	D1	None	6	22	D1/D6-D1h-D1kg-D1ke-D1kf-D1kh	853-1752-933-788235-46472-151576-1147949	0.274[0.058]-0.199[0.010]-0.190[0.014]-0.132[0.032]-0.130[0.007]-0.052[0.003]-0.023[0.005]
374286	D	D1	None	2	89	D1-D4-D4c-D17d-D1r-D17c-D17e-D17j	853-854-2582-1730-1768-2587-944-1759	0.624[0.049]-0.245[0.023]-0.041[0.010]-0.028[0.006]-0.027[0.003]-0.016[0.005]-0.014[0.005]-0.006[0.003]
374057	D	D1	None	2	296	D1-D4-D2-D4c-D6	853-854-1730-933-855	0.613[0.026]-0.254[0.054]-0.055[0.021]-0.052[0.009]-0.026[0.003]
374025	D	D4	None	1	79	D1/D4	854-853	0.563[nan]-0.437[nan]
374033	D	D1	None	1	12	D1/D2-D4	853-854-855	0.853[nan]-0.135[nan]-0.011[nan]
374415	D	D1	None	1	39	D1	853	1.000[nan]
374416	D	D4	None	1	25	D4	854	1.000[nan]
374078	D	D1	None	1	211	D1-D4-D4c-D6-D1c	853-854-933-1730-2308	0.677[nan]-0.195[nan]-0.086[nan]-0.023[nan]-0.020[nan]
374207	D	D1	None	1	100	D1/D4-D17d-D17c-D17e-D1r-D17j-D17k-D17l	853-854-2582-2587-1768-2597-944-2594-1759	0.576[nan]-0.338[nan]-0.025[nan]-0.024[nan]-0.009[nan]-0.008[nan]-0.007[nan]-0.007[nan]-0.006[nan]
374343	D	D1	None	1	21	D1/D6-D1h-D1ke-D1kg-D1kf-D1kq	853-933-1752-788235-46472-151576-1148512	0.390[nan]-0.213[nan]-0.126[nan]-0.112[nan]-0.079[nan]-0.059[nan]-0.020[nan]
374244	D	D1	None	1	8	D1-D4-D2-D1c	853-854-855-2308	0.640[nan]-0.333[nan]-0.014[nan]-0.013[nan]
374391	D	D1	None	1	14	D1/D4-D6-D2.2-D1h	853-854-933-1752-10403	0.404[nan]-0.243[nan]-0.216[nan]-0.072[nan]-0.066[nan]
374397	D	D1	None	1	10	D1-D17d-D1r-D17c	853-2582-944-1759	0.740[nan]-0.135[nan]-0.099[nan]-0.027[nan]
374560	G	G3ae	None	1	7	G3a/G3ae-G3ai-G3bi-G3bj	34945-34947-33556-483626-34950	0.358[nan]-0.254[nan]-0.142[nan]-0.134[nan]-0.112[nan]
